V_GS,V_DS,I_DS
0.6,6.800000000000001,1.990503e-11
0.6,7.0,2.010516e-11
0.6,7.2,2.0305e-11
0.6,7.4,2.050484e-11
0.6,7.600000000000001,2.070498e-11
0.6,7.800000000000001,2.090482e-11
0.6,8.0,2.110496e-11
0.6,8.200000000000001,2.130509e-11
0.6,8.4,2.150523e-11
0.6,8.6,2.170477e-11
0.6,8.8,2.190491e-11
0.6,9.0,2.210445e-11
0.6,9.200000000000001,2.230459e-11
0.6,9.4,2.250473e-11
0.6,9.600000000000001,2.270486e-11
0.6,9.8,2.2905e-11
0.6,10.0,2.310514e-11
0.8,0.0,-4.960243e-38
0.8,0.2,5.65479e-10
0.8,0.4,5.656862e-10
0.8,0.6000000000000001,5.658869e-10
0.8,0.8,5.66087e-10
0.8,1.0,5.662871e-10
0.8,1.2,5.664871e-10
0.8,1.4,5.666871e-10
0.8,1.6,5.668872e-10
0.8,1.8,5.670872e-10
0.8,2.0,5.672872e-10
0.8,2.2,5.674872e-10
0.8,2.4,5.676872e-10
0.8,2.6,5.67887e-10
0.8,2.8,5.68087e-10
0.8,3.0,5.68287e-10
0.8,3.2,5.68487e-10
0.8,3.4,5.686871e-10
0.8,3.6,5.688869e-10
0.8,3.8,5.690871e-10
0.8,4.0,5.692869e-10
0.8,4.2,5.694869e-10
0.8,4.4,5.696867e-10
0.8,4.600000000000001,5.698869e-10
0.8,4.800000000000001,5.70087e-10
0.8,5.0,5.702869e-10
0.8,5.2,5.704867e-10
0.8,5.4,5.706868e-10
0.8,5.600000000000001,5.708869e-10
0.8,5.800000000000001,5.710868e-10
0.8,6.0,5.712866e-10
0.8,6.2,5.714871e-10
0.8,6.4,5.716869e-10
0.8,6.600000000000001,5.718868e-10
0.8,6.800000000000001,5.720869e-10
0.8,7.0,5.722871e-10
0.8,7.2,5.724869e-10
0.8,7.4,5.726867e-10
0.8,7.600000000000001,5.728868e-10
0.8,7.800000000000001,5.730867e-10
0.8,8.0,5.732868e-10
0.8,8.200000000000001,5.73487e-10
